run_id,timestamp,model_key,model_name,params_json,cv_f1_up_mean,cv_f1_up_std,cv_f1_up_folds_json,cv_precision_up_mean,cv_precision_up_std,cv_recall_up_mean,cv_recall_up_std,cv_precision_up_folds_json,cv_recall_up_folds_json,cv_fold_ranges_json,decision_threshold,oof_f1_up,oof_precision_up,oof_recall_up,oof_up_rate,oof_predicted_up_ratio,threshold_constraint_passed,train_seconds,dataset_fingerprint,content_fingerprint,policy_id,status,note
LR_20260719_223709_291200,2026-07-19T22:37:13,logistic_regression,Logistic Regression,"{""C"": 4.12316e-07, ""solver"": ""liblinear""}",0.4215558994769812,0.04727769496079827,"[0.46199010710599336, 0.47519262913286314, 0.3759742581337147, 0.37306660353535354]",0.4125618800555164,0.0246551244379377,0.44582166604772155,0.10539416297381388,"[0.38157661647475644, 0.4453047398313934, 0.3975803402646503, 0.42578582365126544]","[0.5853459696321207, 0.5093811910033795, 0.3565954560868091, 0.33196404746857666]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4292307330052509,0.41093636110881504,0.4492298845853699,0.3692206437211108,0.40362684557244594,True,3.949,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,initial config
RF_20260719_223740_517646,2026-07-19T22:38:30,random_forest,Random Forest,"{""n_estimators"": 130, ""max_depth"": 6, ""min_samples_leaf"": 40, ""max_features"": 0.25}",0.44724782117452444,0.030436117221714194,"[0.47430677249768066, 0.4794799306209967, 0.4082049971244169, 0.4269995844550037]",0.41478295831659323,0.031075823883809407,0.49618421859327355,0.08283433590171187,"[0.38209221698602835, 0.4512944443016171, 0.38591191928955476, 0.4398332526891726]","[0.6251910730663406, 0.5114205803519404, 0.43323160393353677, 0.4148936170212766]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4505792971046307,0.41180911186827984,0.4974083049246314,0.3692206437211108,0.44596734079852474,True,49.938,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,initial config
GB_20260719_223847_945004,2026-07-19T22:45:42,gradient_boosting,Gradient Boosting,"{""n_estimators"": 120, ""learning_rate"": 0.2, ""max_depth"": 2, ""subsample"": 0.9}",0.47026797032077794,0.02613266650249185,"[0.4763335434633904, 0.5102749674762861, 0.4431713176861948, 0.4512920526572404]",0.4175108588691353,0.021184929322726722,0.5417622307072593,0.05433059214700327,"[0.3935679773039585, 0.4504002318892283, 0.4059590316573557, 0.42011619462599853]","[0.6031794558239071, 0.5885094977275376, 0.4878942014242116, 0.4874657678533811]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.49,0.4727401210598447,0.4179619707554731,0.5440423871524213,0.3692206437211108,0.48059798367039924,True,414.38,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,initial config
LR_20260720_004826_463498,2026-07-20T00:48:31,logistic_regression,Logistic Regression,"{""C"": 0.000692264885505, ""solver"": ""lbfgs""}",0.44154464592538656,0.043146061619441005,"[0.48450753857383777, 0.4845094890895212, 0.392979226926111, 0.4041823291120762]",0.4071876651916718,0.025289262699954095,0.4961000412776546,0.10750382263836447,"[0.3848337631699954, 0.441859906860627, 0.38127431596402833, 0.42078267477203646]","[0.6538605251537076, 0.5362719962708309, 0.40542556798914886, 0.3888420756969314]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.49,0.44772584750451877,0.40632720699005725,0.49851727112169875,0.3692206437211108,0.45299173814405475,True,4.694,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=1/100
LR_20260720_004831_155494,2026-07-20T00:48:35,logistic_regression,Logistic Regression,"{""C"": 3.6187858325e-08, ""solver"": ""liblinear""}",0.4219789197201272,0.047059740451328394,"[0.46191408870167155, 0.4756385548709318, 0.3766493117466657, 0.37371372356123955]",0.4122842434440247,0.02455542291276631,0.44672846625521895,0.10465806979752545,"[0.3817040995055761, 0.4452207937395193, 0.39715725351583064, 0.42505482701517255]","[0.5848024729100852, 0.5105174222118635, 0.3581553068836894, 0.33343866301523767]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.42956418809013336,0.4107857689020825,0.45014170123629194,0.3692206437211108,0.40459436835017654,True,4.185,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=2/100
LR_20260720_004835_349257,2026-07-20T00:48:46,logistic_regression,Logistic Regression,"{""C"": 0.000261636636606, ""solver"": ""liblinear""}",0.4433580340466733,0.04242147534908047,"[0.48490129204112625, 0.4864538960613409, 0.3969555610115394, 0.4051213870726865]",0.4073452055585346,0.025311935320097484,0.5009909782455881,0.10914926450014927,"[0.3826794239572487, 0.442138619523004, 0.3836734693877551, 0.42088930936613056]","[0.6616393219878393, 0.5406421163034612, 0.41119023397761956, 0.390492240713433]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.49,0.4495607680598602,0.4061166335321405,0.5034131515176408,0.3692206437211108,0.4576777026945054,True,11.453,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=3/100
LR_20260720_004846_807559,2026-07-20T00:48:54,logistic_regression,Logistic Regression,"{""C"": 0.00061073981616, ""solver"": ""lbfgs""}",0.44149187616811775,0.04312452153292372,"[0.4845246775450683, 0.48435402794957494, 0.39302444075541165, 0.404064358422416]",0.4070360277883681,0.02521741175338205,0.4962650176756912,0.10777002581596834,"[0.38459696250024944, 0.44166066714662827, 0.38135944626965645, 0.420527035236938]","[0.6546078331465064, 0.5361845938701782, 0.40542556798914886, 0.3888420756969314]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.49,0.4476860165413589,0.40615800460311513,0.4986733478457305,0.3692206437211108,0.45332233370133573,True,7.343,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=4/100
LR_20260720_004854_151656,2026-07-20T00:49:00,logistic_regression,Logistic Regression,"{""C"": 4.57746499489e-07, ""solver"": ""liblinear""}",0.4215418696348911,0.047331827492565454,"[0.4620519557116431, 0.47521576622494055, 0.37585380681614994, 0.37304594978683087]",0.41264816210938393,0.02470466807496471,0.445737823322433,0.10550958351448872,"[0.3816176959015123, 0.44538992637130265, 0.3975639279770011, 0.42602109818771977]","[0.5854478752675023, 0.5093229227362778, 0.356391997287216, 0.33178849799873605]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.42923141537169257,0.4110063744061579,0.4491477389411426,0.3692206437211108,0.40348429519453577,True,6.276,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=5/100
LR_20260720_004900_437316,2026-07-20T00:49:07,logistic_regression,Logistic Regression,"{""C"": 4.59400751593e-06, ""solver"": ""liblinear""}",0.4185113100530975,0.048682067427612837,"[0.4632340187065526, 0.4709977436574762, 0.36980747904812117, 0.37000599880023993]",0.4140080840964013,0.025413998063489256,0.43952056323918565,0.10971419831021667,"[0.3814494154873868, 0.44622002085505735, 0.3985970137555355, 0.4297658862876254]","[0.5896599748632766, 0.49868896399021095, 0.3448965751102068, 0.32483673899304827]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4266726829422754,0.4117161779196871,0.44275680782026533,0.3692206437211108,0.3970573962415228,True,6.566,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=6/100
LR_20260720_004907_008222,2026-07-20T00:49:11,logistic_regression,Logistic Regression,"{""C"": 4.79262972121e-08, ""solver"": ""lbfgs""}",0.42203388573694733,0.04705835243583753,"[0.46195331365709685, 0.4757007570618403, 0.37683174671087816, 0.37364972551797415]",0.4122925626250432,0.024496199879136267,0.4468370138614997,0.10467365073909546,"[0.3817431985987007, 0.4451526077903611, 0.39727108705457825, 0.4250033570565328]","[0.5848364414552125, 0.5107504952802704, 0.35839267548321463, 0.33336844322730147]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4296234171882287,0.4107983331834398,0.45025670513821003,0.3692206437211108,0.4046853579530979,True,4.382,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=7/100
LR_20260720_004911_392617,2026-07-20T00:49:15,logistic_regression,Logistic Regression,"{""C"": 4.58836003507e-10, ""solver"": ""lbfgs""}",0.4220893247769971,0.047001414996196395,"[0.46195331365709685, 0.4757007570618403, 0.37683174671087816, 0.37387148167817313]",0.41230765654217927,0.024504044632536984,0.446916011122928,0.1045880703908219,"[0.3817431985987007, 0.4451526077903611, 0.39727108705457825, 0.42506373272507714]","[0.5848364414552125, 0.5107504952802704, 0.35839267548321463, 0.33368443227301453]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4296636505068951,0.41081036524137104,0.45033063621801456,0.3692206437211108,0.4047399517148507,True,4.26,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=8/100
LR_20260720_004915_655987,2026-07-20T00:49:21,logistic_regression,Logistic Regression,"{""C"": 2.01169486156e-06, ""solver"": ""liblinear""}",0.42036440377016854,0.04800336268989175,"[0.46323981706827844, 0.47321965349510847, 0.37375065281204417, 0.37124749170524307]",0.4134185441485561,0.02471843645843591,0.4431996735223026,0.10774555750892471,"[0.38199942659285885, 0.4455794565664883, 0.39851760820308, 0.4275776852317972]","[0.5883691701484426, 0.5045157907003845, 0.35188199389623603, 0.3280317393441472]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4282990324308992,0.41150063968144623,0.44652729289029447,0.3692206437211108,0.40064845257015297,True,6.095,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=9/100
LR_20260720_004921_751976,2026-07-20T00:49:26,logistic_regression,Logistic Regression,"{""C"": 2.07524337444e-07, ""solver"": ""lbfgs""}",0.4217881734201665,0.04716016718153389,"[0.4620748846690269, 0.4753303545964445, 0.37639206167904055, 0.3733553927361538]",0.41236217911568845,0.024530490982582687,0.44635196197662275,0.10499335137665178,"[0.3817500941744776, 0.4451906688035819, 0.39729485343983123, 0.4252131000448632]","[0.5852100954516118, 0.5098473371401935, 0.3575788402848423, 0.3327715750298434]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.42941118801592126,0.410827643130487,0.449755616708424,0.3692206437211108,0.40420614604437866,True,4.369,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=10/100
LR_20260720_004926_126053,2026-07-20T00:49:30,logistic_regression,Logistic Regression,"{""C"": 3.89296058501e-10, ""solver"": ""lbfgs""}",0.4220893247769971,0.047001414996196395,"[0.46195331365709685, 0.4757007570618403, 0.37683174671087816, 0.37387148167817313]",0.41230765654217927,0.024504044632536984,0.446916011122928,0.1045880703908219,"[0.3817431985987007, 0.4451526077903611, 0.39727108705457825, 0.42506373272507714]","[0.5848364414552125, 0.5107504952802704, 0.35839267548321463, 0.33368443227301453]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4296636505068951,0.41081036524137104,0.45033063621801456,0.3692206437211108,0.4047399517148507,True,4.134,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=11/100
LR_20260720_004930_263738,2026-07-20T00:49:35,logistic_regression,Logistic Regression,"{""C"": 3.73073193623e-08, ""solver"": ""liblinear""}",0.42198857378441335,0.047060938112851614,"[0.46191408870167155, 0.47565924297327744, 0.37664259605955247, 0.37373836740315186]",0.4122857109018369,0.02456332260564152,0.4467445272620987,0.10465300883230545,"[0.3817040995055761, 0.44523488909779213, 0.3971423199849596, 0.42506153501901994]","[0.5848024729100852, 0.5105465563454142, 0.3581553068836894, 0.3334737729092058]","[{""fold"": 1, ""train_start"": ""2021-01-04"", ""train_end"": ""2021-11-18"", ""train_label_end_max"": ""2021-11-25"", ""validation_start"": ""2021-11-26"", ""validation_end"": ""2022-10-18"", ""train_rows"": 78914, ""validation_rows"": 82539}, {""fold"": 2, ""train_start"": ""2021-01-04"", ""train_end"": ""2022-10-11"", ""train_label_end_max"": ""2022-10-18"", ""validation_start"": ""2022-10-19"", ""validation_end"": ""2023-09-08"", ""train_rows"": 161487, ""validation_rows"": 81981}, {""fold"": 3, ""train_start"": ""2021-01-04"", ""train_end"": ""2023-08-30"", ""train_label_end_max"": ""2023-09-08"", ""validation_start"": ""2023-09-11"", ""validation_end"": ""2024-07-30"", ""train_rows"": 243426, ""validation_rows"": 82741}, {""fold"": 4, ""train_start"": ""2021-01-04"", ""train_end"": ""2024-07-23"", ""train_label_end_max"": ""2024-07-30"", ""validation_start"": ""2024-07-31"", ""validation_end"": ""2025-06-23"", ""train_rows"": 326201, ""validation_rows"": 82447}]",0.5,0.4295731312980869,0.41078844395136505,0.4501581303651374,0.3692206437211108,0.4046065002972327,True,5.225,9eabd4bf8d11,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,rolling_recent_cv_oof_threshold,ok,selected-random-100 seed=20260720 stage=explore index=12/100
